record;sample_period_ms;original_rows;resampled_rows;rows_created;rows_removed;start_time_ms;end_time_ms;duration_s;speedA_min;speedA_max;speedA_mean;speedB_min;speedB_max;speedB_mean;forward_count;forward_percent;light_left_count;light_left_percent;light_right_count;light_right_percent;pivot_left_count;pivot_left_percent;pivot_right_count;pivot_right_percent;sharp_left_count;sharp_left_percent;sharp_right_count;sharp_right_percent;backward_count;backward_percent;stop_count;stop_percent;other_count;other_percent
Record_2025-08-08_19-36-02;250;2741;5867;3126;0;1754674834086;1754676300713;1466.63;0;60;29.32;0;60;56.63;603;10.28;2942;50.14;50;0.85;0;0;0;0;0;0;0;0;190;3.24;2082;35.49;0;0
Record_2025-08-11_18-31-58;250;46;304;258;0;1754929971601;1754930047420;75.82;0;100;90.63;0;100;95.95;1;0.33;9;2.96;3;0.99;0;0;0;0;0;0;0;0;10;3.29;281;92.43;0;0
Record_2025-08-11_18-34-54;250;72;318;246;0;1754930113313;1754930192812;79.5;0;50;41.89;0;50;48.08;22;6.92;36;11.32;6;1.89;0;0;0;0;0;0;0;0;16;5.03;238;74.84;0;0
