start_time;end_time;duration_ms;direction_class;speedA;speedB;GPIO1;GPIO2;GPIO3;GPIO4
1751442934900;1751442935009;109;stop;50;0;0;0;0;0
1751442935663;1751442935915;252;stop;0;50;0;0;0;0
1751442938093;1751442938261;168;stop;50;50;0;0;0;0
1751442938261;1751442938498;237;stop;0;50;0;0;0;0
1751442940686;1751442940914;228;stop;0;50;0;0;0;0
1751442942985;1751442943098;113;stop;0;50;0;0;0;0
1751442944510;1751442944804;294;stop;50;50;0;0;0;0
1751442945067;1751442945202;135;stop;50;50;0;0;0;0
1751442945202;1751442945478;276;stop;0;50;0;0;0;0
1751442947968;1751442948102;134;stop;0;50;0;0;0;0
1751442948102;1751442948202;100;stop;50;50;0;0;0;0
1751442948202;1751442948409;207;stop;0;50;0;0;0;0
1751442948812;1751442948927;115;stop;0;50;0;0;0;0
1751442949713;1751442949995;282;stop;50;0;0;0;0;0
1751442953247;1751442953433;186;stop;50;50;0;0;0;0
1751442953433;1751442953557;124;stop;0;50;0;0;0;0
1751442955497;1751442955608;111;stop;0;50;0;0;0;0
1751442957337;1751442957483;146;stop;0;50;0;0;0;0
1751442957934;1751442958044;110;stop;0;50;0;0;0;0
1751442963488;1751442963596;108;stop;50;0;0;0;0;0
1751442964324;1751442964467;143;stop;0;50;0;0;0;0
1751442965830;1751442965926;96;stop;50;50;0;0;0;0
1751442965926;1751442966066;140;stop;0;50;0;0;0;0
1751442968581;1751442968858;277;stop;50;50;0;0;0;0
1751442968858;1751442969009;151;stop;0;50;0;0;0;0
1751442970882;1751442970991;109;stop;0;50;0;0;0;0
1751442973320;1751442973442;122;stop;0;50;0;0;0;0
1751442974673;1751442974783;110;stop;0;50;0;0;0;0
1751442975184;1751442975301;117;stop;0;50;0;0;0;0
1751442979948;1751442980070;122;stop;0;50;0;0;0;0
1751442981111;1751442981351;240;stop;50;50;0;0;0;0
1751442981351;1751442981588;237;stop;0;50;0;0;0;0
1751442983424;1751442983535;111;stop;0;50;0;0;0;0
1751442984599;1751442984757;158;stop;50;50;0;0;0;0
1751442984757;1751442984860;103;stop;0;50;0;0;0;0
1751442990772;1751442990896;124;stop;0;50;0;0;0;0
1751443002133;1751443002296;163;stop;50;0;0;0;0;0
1751443003824;1751443004047;223;stop;0;50;0;0;0;0
1751443010344;1751443010450;106;stop;0;50;0;0;0;0
1751443010988;1751443011235;247;stop;50;50;0;0;0;0
1751443012825;1751443012938;113;stop;0;50;0;0;0;0
1751443017784;1751443017904;120;stop;0;50;0;0;0;0
1751443022629;1751443022737;108;stop;0;50;0;0;0;0
1751443023954;1751443024139;185;stop;50;50;0;0;0;0
1751443024139;1751443024358;219;stop;0;50;0;0;0;0
1751443025436;1751443025557;121;stop;0;50;0;0;0;0
1751443028870;1751443029125;255;stop;0;50;0;0;0;0
1751443029857;1751443029965;108;stop;0;50;0;0;0;0
1751443029965;1751443030240;275;stop;50;50;0;0;0;0
1751443030398;1751443030685;287;stop;50;50;0;0;0;0
1751443031435;1751443031721;286;stop;0;50;0;0;0;0
1751443032520;1751443032633;113;stop;0;50;0;0;0;0
1751443032633;1751443032871;238;stop;50;50;0;0;0;0
1751443033568;1751443033690;122;stop;0;50;0;0;0;0
1751443034126;1751443034251;125;stop;0;50;0;0;0;0
1751443034923;1751443035047;124;stop;0;50;0;0;0;0
1751443035505;1751443035604;99;stop;50;0;0;0;0;0
