dataset;nb_samples;majority_class;majority_percent;minority_class;minority_percent;imbalance_ratio
#Record_2025-07-02_09-46-48;4373;stop;62.86;backward;2.58;24.36
#Record_2025-07-02_12-10-19;820;stop;64.27;backward;3.66;17.56
#Record_2025-07-02_14-28-50;1902;stop;63.3;right;3.26;19.42
#Record_2025-07-03_11-21-26;1343;stop;54.65;left;3.43;15.93
#Record_2025-07-03_11-32-43;1195;stop;57.49;right;3.18;18.08
#Record_2025-07-03_11-44-47;788;stop;64.59;backward;1.78;36.29
#Record_2025-07-03_18-08-57;988;stop;65.69;right;1.62;40.55
#Record_2025-07-03_18-36-57;2135;stop;64.26;left;3.33;19.3
